CODE_FNS;CODE_OKATO;FED;OKATO_5;STATUS;SUBJECT;SYNONYM;ID
01;79;6;79000;"Республика";"Республика Адыгея (Адыгея)";"Республика Адыгея; Адыгея";1
02;80;3;80000;"Республика";"Республика Башкортостан";"Республика Башкортостан";2
03;81;8;81000;"Республика";"Республика Бурятия";"Республика Бурятия";3
04;84;7;84000;"Республика";"Республика Алтай";"Республика Алтай";4
05;82;5;82000;"Республика";"Республика Дагестан";"Республика Дагестан";5
06;26;5;26000;"Республика";"Республика Ингушетия";"Республика Ингушетия";6
07;83;5;83000;"Республика";"Кабардино-Балкарская Республика";"Кабардино-Балкарская Республика";7
08;85;6;85000;"Республика";"Республика Калмыкия";"Республика Калмыкия";8
09;91;5;91000;"Республика";"Карачаево-Черкесская Республика";"Карачаево-Черкесская Республика";9
10;86;2;86000;"Республика";"Республика Карелия";"Республика Карелия";10
11;87;2;87000;"Республика";"Республика Коми";"Республика Коми";11
12;88;3;88000;"Республика";"Республика Марий Эл";"Республика Марий Эл";12
13;89;3;89000;"Республика";"Республика Мордовия";"Республика Мордовия";13
14;98;8;98000;"Республика";"Республика Саха (Якутия)";"Республика Саха; Якутия";14
15;90;5;90000;"Республика";"Республика Северная Осетия - Алания";"Республика Северная Осетия; Алания";15
16;92;3;92000;"Республика";"Республика Татарстан (Татарстан)";"Республика Татарстан; Татарстан";16
17;93;7;93000;"Республика";"Республика Тыва";"Республика Тыва";17
18;94;3;94000;"Республика";"Удмуртская Республика";"Удмуртская Республика";18
19;95;7;95000;"Республика";"Республика Хакасия";"Республика Хакасия";19
20;96;5;96000;"Республика";"Чеченская Республика";"Чеченская Республика";20
21;97;3;97000;"Республика";"Чувашская Республика - Чувашия";"Чувашская Республика; Чувашия";21
22;01;7;01000;"Край";"Алтайский край";"Алтайский край";22
23;03;6;03000;"Край";"Краснодарский край";"Краснодарский край";23
24;04;7;04000;"Край";"Красноярский край";"Красноярский край";24
25;05;8;05000;"Край";"Приморский край";"Приморский край";25
26;07;5;07000;"Край";"Ставропольский край";"Ставропольский край";26
27;08;8;08000;"Край";"Хабаровский край";"Хабаровский край";27
28;10;8;10000;"Область";"Амурская область";"Амурская область";28
29;11;2;11000;"Область";"Архангельская область";"Архангельская область";29
30;12;6;12000;"Область";"Астраханская область";"Астраханская область";30
31;14;1;14000;"Область";"Белгородская область";"Белгородская область";31
32;15;1;15000;"Область";"Брянская область";"Брянская область";32
33;17;1;17000;"Область";"Владимирская область";"Владимирская область";33
